No., BCV ,Position,Player,Team, Price , Weighted minutes , Weighted UPPM , PPG - longer term ,Fixture ratio,1,2,3,4,5,6,7,8,Sum
1, 0.08 ,M,Fábio Vieira,ARS, 5.5 , -   , 0.056 , -   ,98%, -   , -   , -   , -   , -   , -   , -   , -   , -   
2, 0.46 ,M,Saka,ARS, 10.0 , 79.31 , 0.073 , 5.91 ,98%, 5.52 , 7.30 , 4.30 , 6.12 , 5.13 , 5.05 , 6.47 , 5.36 , 45.26 
3, 0.12 ,M,Merino,ARS, 6.0 , 24.23 , 0.053 , 1.38 ,98%, 1.25 , 1.67 , 0.96 , 1.34 , 1.10 , 1.05 , 1.31 , 1.06 , 9.75 
4, 0.14 ,M,Norgaard,ARS, 4.8 , 19.23 , 0.052 , 1.09 ,98%, 0.99 , 1.31 , 0.75 , 1.03 , 0.84 , 0.80 , 0.98 , 0.78 , 7.49 
5, 0.11 ,M,Trossard,ARS, 7.0 , 22.37 , 0.059 , 1.53 ,98%, 0.96 , 1.85 , 1.07 , 1.49 , 1.21 , 1.17 , 1.45 , 1.17 , 10.38 
6, 0.20 ,M,Martinelli,ARS, 7.0 , 46.09 , 0.058 , 2.67 ,98%, 2.84 , 3.28 , 1.91 , 2.71 , 2.25 , 2.19 , 2.78 , 2.29 , 20.25 
7, 0.35 ,M,Odegaard,ARS, 8.0 , 76.31 , 0.055 , 4.26 ,98%, 3.99 , 5.27 , 3.10 , 4.41 , 3.69 , 3.64 , 4.65 , 3.86 , 32.60 
8, 0.11 ,M,Nwaneri,ARS, 5.5 , 12.23 , 0.051 , 0.72 ,98%, 0.65 , 0.85 , 0.47 , 0.64 , 0.50 , 0.46 , 0.55 , 0.42 , 4.54 
9, 0.40 ,M,Rice,ARS, 6.5 , 79.70 , 0.050 , 4.07 ,98%, 3.78 , 5.03 , 2.96 , 4.22 , 3.54 , 3.48 , 4.46 , 3.70 , 31.17 
10, 0.13 ,M,Madueke,ARS, 7.0 , 27.91 , 0.063 , 2.03 ,98%, 1.26 , 2.47 , 1.43 , 2.00 , 1.65 , 1.60 , 2.00 , 1.63 , 14.04 
11, 0.25 ,M,Zubimendi,ARS, 5.5 , 69.39 , 0.039 , 2.75 ,98%, 2.66 , 3.39 , 1.99 , 2.83 , 2.37 , 2.33 , 2.97 , 2.46 , 21.00 
12, (1.00),M,0,ARS, 100.0 , -   , -   , -   ,98%, -   , -   , -   , -   , -   , -   , -   , -   , -   
13, (1.00),M,0,ARS, 100.0 , -   , -   , -   ,98%, -   , -   , -   , -   , -   , -   , -   , -   , -   
14, (1.00),M,0,ARS, 100.0 , -   , -   , -   ,98%, -   , -   , -   , -   , -   , -   , -   , -   , -   
15, (1.00),M,0,AVL, 100.0 , -   , -   , -   ,105%, -   , -   , -   , -   , -   , -   , -   , -   , -   
