first_name,second_name,form,team_against,Home_Away,minutes,xG,xA,xGI,xGC,xPoints,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,saves,defensive_points,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards
Viktor,Gyökeres,4.8,Newcastle,Away,157.0,1.2152866242038216,0.028662420382165606,1.2439490445859873,0.1547770700636943,8.386624203821656,10.318471337579618,1.7197452229299364,0.0,1.1464968152866242,0.0,1.1464968152866242,0.0,0.0,1.7197452229299364,2.2929936305732483,0.5732484076433121,4.585987261146497,0.0,0.0,0.0,0.0,0.0
Ollie,Watkins,1.5,Fulham,Home,180.0,0.38,0.025,0.405,2.05,3.0949999999999998,2.0,0.0,0.0,0.5,1.5,0.0,0.0,0.0,1.0,1.5,0.5,3.0,0.0,0.0,0.0,0.0,0.0
Lyle,Foster,3.8,Man City,Away,255.0,0.007058823529411764,0.014117647058823528,0.021176470588235293,1.1576470588235293,2.188235294117647,3.176470588235294,0.0,0.3529411764705882,0.7058823529411764,0.3529411764705882,0.0,0.0,0.0,1.7647058823529411,3.176470588235294,1.4117647058823528,6.352941176470588,0.0,0.0,0.0,0.0,0.0
Francisco Evanilson,de Lima Barbosa,3.8,Leeds,Away,177.0,0.07118644067796612,0.030508474576271188,0.10169491525423731,0.5237288135593221,2.410169491525424,3.5593220338983054,0.0,0.5084745762711864,0.5084745762711864,0.5084745762711864,0.0,0.0,0.0,0.5084745762711864,3.5593220338983054,0.0,4.067796610169491,0.0,0.0,0.0,0.0,0.0
Igor Thiago,Nascimento Rodrigues,2.5,Man Utd,Home,161.0,0.12298136645962733,0.022360248447204967,0.14534161490683228,1.0956521739130434,2.2360248447204967,1.6770186335403725,0.0,0.0,0.5590062111801242,0.5590062111801242,0.0,0.0,0.0,3.354037267080745,2.2360248447204967,1.1180124223602483,6.70807453416149,0.0,0.0,0.0,0.5590062111801242,0.0
Danny,Welbeck,1.2,Chelsea,Away,81.0,0.0,0.18888888888888888,0.18888888888888888,2.0999999999999996,2.7888888888888888,3.333333333333333,0.0,0.0,0.0,2.2222222222222223,0.0,0.0,0.0,0.0,2.2222222222222223,1.1111111111111112,3.333333333333333,0.0,0.0,0.0,0.0,0.0
João Pedro,Junqueira de Jesus,8.2,Brighton,Home,162.0,0.5222222222222223,0.022222222222222223,0.5444444444444445,0.9,6.044444444444444,6.111111111111111,0.5555555555555556,0.0,1.1111111111111112,0.0,1.6666666666666665,0.0,0.0,1.6666666666666665,3.888888888888889,0.5555555555555556,6.111111111111111,0.0,0.0,0.0,0.0,0.0
Jean-Philippe,Mateta,3.8,Liverpool,Home,177.0,0.38135593220338987,0.005084745762711865,0.3864406779661017,0.5186440677966102,3.5745762711864404,2.0338983050847457,0.0,0.0,0.5084745762711864,0.5084745762711864,0.0,0.0,0.0,3.050847457627119,2.0338983050847457,0.0,5.084745762711865,0.0,0.0,0.0,0.0,0.0
Thierno,Barry,1.2,West Ham,Home,63.0,0.5,0.014285714285714287,0.5142857142857142,2.1142857142857143,4.8999999999999995,2.857142857142857,0.0,0.0,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norberto Bercique,Gomes Betuncal,2.5,West Ham,Home,100.0,0.9989999999999999,0.0,0.9989999999999999,1.341,4.895999999999999,1.7999999999999998,0.0,0.0,0.8999999999999999,0.0,0.0,0.0,0.0,0.8999999999999999,0.0,0.0,0.8999999999999999,0.0,0.0,0.0,0.8999999999999999,0.0
