first_name,second_name,form,team_against,Home_Away,minutes,xG,xA,xGI,xGC,xPoints,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,saves,defensive_points,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards
Gabriel,dos Santos Magalhães,7.8,Crystal Palace,Away,2686.0,0.09784065524944155,0.05863737900223381,0.15647803425167536,0.6956068503350707,5.923045420699926,6.93596425912137,0.10052122114668652,0.16753536857781087,0.6031273268801192,0.6366344005956813,1.0052122114668651,0.0,0.7371556217423678,7.807148175725986,2.077438570364855,1.2732688011913627,9.080416976917348,0.0,0.0,0.0,0.13402829486224868,0.0
William,Saliba,6.5,Crystal Palace,Away,2610.0,0.030344827586206897,0.04172413793103448,0.07206896551724137,0.7037931034482758,4.61896551724138,4.689655172413793,0.034482758620689655,0.0,0.5172413793103449,0.6896551724137931,0.41379310344827586,0.0,0.27586206896551724,5.344827586206897,3.896551724137931,1.206896551724138,6.551724137931035,0.0,0.0,0.0,0.06896551724137931,0.0
Riccardo,Calafiori,3.8,Crystal Palace,Away,1627.0,0.17203441917639825,0.03540258143822987,0.2074370006146281,0.5055931161647202,6.220897357098954,5.8082360172095875,0.05531653349723417,0.11063306699446834,0.7191149354640441,0.3872157344806392,0.33189920098340503,0.0,0.0,3.7615242778119233,3.927473878303626,1.7701290719114935,5.531653349723417,0.0,0.0,0.0,0.27658266748617083,0.0
Jurriën,Timber,0.0,Crystal Palace,Away,2433.0,0.17422934648582,0.05659679408138101,0.23082614056720102,0.6210850801479654,5.633415536374846,5.511713933415536,0.11097410604192355,0.2219482120838471,0.4808877928483354,0.7398273736128236,0.3329223181257706,0.0,0.2219482120838471,2.996300863131936,3.5511713933415536,2.3674475955610355,5.363748458692971,0.0,0.0,0.0,0.14796547472256472,0.0
Myles,Lewis-Skelly,3.5,Crystal Palace,Away,525.0,0.017142857142857144,0.029142857142857147,0.04628571428571429,0.7337142857142858,4.688571428571429,3.085714285714286,0.0,0.0,0.34285714285714286,0.8571428571428572,0.0,0.0,0.0,1.885714285714286,3.428571428571429,1.3714285714285714,3.257142857142857,0.0,0.0,0.0,0.34285714285714286,0.0
Benjamin,White,3.2,Crystal Palace,Away,676.0,0.059911242603550297,0.09053254437869823,0.15044378698224853,0.8893491124260355,5.509171597633135,5.724852071005917,0.0,0.13313609467455623,0.665680473372781,0.665680473372781,0.3994082840236686,0.0,0.26627218934911245,4.792899408284024,3.727810650887574,1.9970414201183433,6.789940828402367,0.0,0.0,0.0,0.0,0.0
Cristhian,Mosquera,1.8,Crystal Palace,Away,870.0,0.010344827586206898,0.06310344827586208,0.07344827586206898,0.8213793103448277,4.46793103448276,3.2068965517241383,0.0,0.0,0.3103448275862069,0.6206896551724138,0.10344827586206898,0.0,0.20689655172413796,5.379310344827586,3.3103448275862073,3.2068965517241383,8.586206896551724,0.0,0.0,0.0,0.4137931034482759,0.0
Piero,Hincapié,2.5,Crystal Palace,Away,1637.0,0.018142944410507025,0.08851557727550396,0.10665852168601099,0.884056200366524,4.777092241905924,4.288332315210751,0.05497861942577886,0.05497861942577886,0.2748930971288943,0.9896151496640195,0.38485033598045204,0.0,0.7697006719609041,6.4324984728161265,3.243738546120953,2.5290164935858277,8.961514966401955,0.05497861942577886,0.0,0.0,0.10995723885155773,0.0
Matty,Cash,2.0,Man City,Away,2971.0,0.03453382699427802,0.08875799394143385,0.12329182093571187,1.3722652305621004,2.6509256142712894,3.513968360821272,0.0908784920902053,0.0908784920902053,0.24234264557388083,1.151127566475934,0.21204981487714572,0.0,0.06058566139347021,3.604846852911477,2.605183439919219,1.999326825984517,5.604173678895994,0.0,0.0,0.0,0.27263547627061596,0.0
Lucas,Digne,1.8,Man City,Away,1710.0,0.026842105263157896,0.12789473684210526,0.15473684210526314,1.298421052631579,3.5278947368421054,4.421052631578948,0.0,0.2631578947368421,0.3684210526315789,1.0526315789473684,0.2631578947368421,0.0,0.10526315789473684,3.736842105263158,3.0,1.736842105263158,5.473684210526316,0.0,0.0,0.0,0.10526315789473684,0.0
Ezri,Konsa Ngoyo,1.0,Man City,Away,3035.0,0.03766062602965404,0.017495881383855025,0.05515650741350907,1.450971993410214,2.631795716639209,2.9654036243822075,0.0,0.029654036243822075,0.26688632619439867,1.3047775947281715,0.08896210873146623,0.0,0.17792421746293247,5.159802306425041,3.202635914332784,0.6523887973640857,5.812191103789127,0.0,0.0,0.0,0.0,0.029654036243822075
Ian,Maatsen,0.8,Man City,Away,1397.0,0.0521832498210451,0.13786685755189693,0.19005010737294203,1.5075161059413027,3.641231209735147,2.512526843235505,0.0,0.06442376521116679,0.12884753042233357,1.5461703650680028,0.0,0.0,0.12884753042233357,4.316392269148174,4.7029348604151755,2.2548317823908377,6.571224051539012,0.0,0.0,0.0,0.12884753042233357,0.0
Tyrone,Mings,0.2,Man City,Away,1201.0,0.0974188176519567,0.031473771856786015,0.12889258950874272,1.6366361365528725,3.3706910907577017,3.2972522897585343,0.0,0.07493755203996669,0.22481265611990006,1.6486261448792672,0.29975020815986675,0.0,0.4496253122398001,6.594504579517069,3.4471273938384677,0.29975020815986675,6.894254787676935,0.0,0.0,0.0,0.07493755203996669,0.0
Pau,Torres,1.2,Man City,Away,1640.0,0.06475609756097563,0.021402439024390246,0.08615853658536587,1.1952439024390242,3.143963414634147,3.4024390243902443,0.0,0.10975609756097561,0.27439024390243905,0.9878048780487805,0.10975609756097561,0.0,0.21951219512195122,4.774390243902439,4.280487804878049,1.152439024390244,5.926829268292683,0.054878048780487805,0.0,0.0,0.054878048780487805,0.0
Lamare,Bogarde,1.0,Man City,Away,847.0,0.0,0.013813459268004723,0.013813459268004723,1.2368358913813458,3.1399055489964582,2.656434474616293,0.0,0.0,0.21251475796930341,1.7001180637544273,0.42502951593860683,0.0,0.0,2.3376623376623376,3.187721369539551,2.231404958677686,4.569067296340023,0.0,0.0,0.0,0.21251475796930341,0.0
Victor,Lindelöf,0.8,Man City,Away,838.0,0.03007159904534606,0.007517899761336515,0.037589498806682574,1.4917661097852026,2.3208830548926014,2.2553699284009543,0.0,0.10739856801909307,0.10739856801909307,1.503579952267303,0.0,0.0,0.0,4.295942720763723,1.610978520286396,0.6443914081145584,4.940334128878281,0.0,0.0,0.0,0.0,0.0
Kyle,Walker,1.5,Wolves,Home,2997.0,0.004504504504504505,0.03723723723723724,0.04174174174174175,1.9612612612612614,1.8252252252252255,2.012012012012012,0.0,0.060060060060060066,0.12012012012012013,1.9219219219219221,0.0900900900900901,0.0,0.24024024024024027,4.564564564564565,4.414414414414415,1.6216216216216217,6.186186186186187,0.0,0.0,0.0,0.2702702702702703,0.0
Hjalmar,Ekdal,1.8,Wolves,Home,1522.0,0.014783180026281208,0.018922470433639947,0.03370565045992115,1.7798948751642576,3.1115637319316685,2.9566360052562417,0.0,0.0,0.11826544021024966,2.0105124835742445,0.11826544021024966,0.0,1.064388961892247,8.69250985545335,2.897503285151117,1.419185282522996,10.111695137976346,0.0,0.0,0.0,0.0,0.0
Maxime,Estève,3.0,Wolves,Home,2919.0,0.022507708119218914,0.018191161356628988,0.0406988694758479,2.037410071942446,2.841212744090442,2.6207605344295994,0.0,0.0,0.09249743062692704,2.0966084275436794,0.0,0.0,1.1716341212744092,8.94141829393628,3.5149023638232273,1.3566289825282631,10.298047276464544,0.061664953751284696,0.0,0.0,0.030832476875642348,0.0
Quilindschy,Hartman,1.2,Wolves,Home,1825.0,0.01578082191780822,0.09764383561643836,0.11342465753424658,2.116109589041096,2.289205479452055,3.106849315068493,0.0,0.2958904109589041,0.14794520547945206,1.9726027397260273,0.0,0.0,0.2958904109589041,4.980821917808219,3.4027397260273973,2.5643835616438353,7.545205479452054,0.0,0.0,0.0,0.049315068493150684,0.0
Bashir,Humphreys,0.8,Wolves,Home,1474.0,0.02564450474898236,0.04090909090909091,0.06655359565807327,1.9880597014925376,2.38921302578019,2.6865671641791047,0.0,0.1221166892808684,0.1221166892808684,1.8317503392130259,0.0610583446404342,0.0,0.7327001356852104,6.655359565807328,3.9077340569877888,1.6485753052917234,8.30393487109905,0.0,0.0,0.0,0.3663500678426052,0.0
Lucas,Pires Silva,0.8,Wolves,Home,1282.0,0.023166926677067084,0.09407176287051483,0.11723868954758192,1.69399375975039,2.201560062402496,1.40405616224649,0.0,0.0,0.0702028081123245,1.8954758190327614,0.0,0.0,0.140405616224649,4.21216848673947,5.61622464898596,1.965678627145086,6.177847113884556,0.0,0.0,0.0,0.0702028081123245,0.0702028081123245
Oliver,Sonne,0.0,Wolves,Home,129.0,0.11162790697674418,0.05581395348837209,0.16744186046511628,1.6534883720930234,6.3348837209302316,2.0930232558139537,0.0,0.0,0.0,2.0930232558139537,0.0,0.0,0.0,1.3953488372093024,2.7906976744186047,0.6976744186046512,2.0930232558139537,0.0,0.0,0.0,0.0,0.0
Axel,Tuanzebe,1.2,Wolves,Home,1111.0,0.04941494149414941,0.00891089108910891,0.058325832583258325,2.2366336633663364,2.29009900990099,2.592259225922592,0.081008100810081,0.0,0.081008100810081,2.025202520252025,0.0,0.0,0.8100810081008101,8.01980198019802,2.673267326732673,1.053105310531053,9.072907290729072,0.081008100810081,0.0,0.0,0.081008100810081,0.0
Joe,Worrall,0.0,Wolves,Home,461.0,0.015618221258134491,0.0039045553145336228,0.019522776572668113,1.6848156182212584,3.674186550976139,2.9284164859002173,0.0,0.0,0.0,1.7570498915401302,0.0,0.0,1.5618221258134493,12.104121475054232,1.5618221258134493,0.5856832971800434,12.689804772234275,0.0,0.0,0.0,0.0,0.0
Marcos,Senesi Barón,7.5,Nott'm Forest,Away,3198.0,0.04305816135084429,0.13227016885553472,0.175328330206379,1.4926829268292683,4.75609756097561,4.8686679174484055,0.0,0.16885553470919326,0.30956848030018763,1.4634146341463414,0.39399624765478425,0.0,1.4634146341463414,9.906191369606004,4.221388367729832,1.6885553470919326,11.594746716697937,0.0,0.0,0.0,0.22514071294559101,0.0
Adam,Smith,4.2,Nott'm Forest,Away,927.0,0.0,0.021359223300970873,0.021359223300970873,1.5019417475728154,2.759223300970873,4.757281553398058,0.0,0.1941747572815534,0.5825242718446602,1.3592233009708736,0.3883495145631068,0.0,0.0,4.563106796116505,2.3300970873786406,1.1650485436893203,5.7281553398058245,0.0,0.0,0.0,0.0970873786407767,0.0
Adrien,Truffert,5.8,Nott'm Forest,Away,3288.0,0.03695255474452555,0.08102189781021898,0.11797445255474454,1.4422445255474452,3.8939781021897817,4.352189781021898,0.02737226277372263,0.13686131386861314,0.3010948905109489,1.3686131386861315,0.4927007299270073,0.0,0.6569343065693432,5.392335766423358,5.009124087591241,2.6003649635036497,7.992700729927008,0.0,0.0,0.0,0.13686131386861314,0.0
James,Hill,4.5,Nott'm Forest,Away,1993.0,0.04019066733567486,0.05193176116407426,0.09212242849974912,1.3353236327145006,4.146864024084294,4.651279478173607,0.0,0.13547415955845457,0.3612644254892122,0.9483191169091821,0.1806322127446061,0.0,1.1741093828399398,9.16708479678876,3.2062217762167586,1.716006021073758,10.883090817862518,0.09031610637230306,0.0,0.0,0.1806322127446061,0.0
Bafodé,Diakité,0.0,Nott'm Forest,Away,1260.0,0.0014285714285714286,0.01357142857142857,0.014999999999999998,1.5535714285714286,3.1921428571428576,3.0714285714285716,0.0,0.0,0.2857142857142857,1.8571428571428572,0.14285714285714285,0.0,0.5714285714285714,6.785714285714286,3.4285714285714284,1.4285714285714286,8.214285714285714,0.0,0.0,0.0,0.07142857142857142,0.0
Álex,Jiménez Sánchez,1.5,Nott'm Forest,Away,2312.0,0.04243079584775086,0.06734429065743944,0.1097750865051903,1.60030276816609,2.9759948096885807,2.8806228373702423,0.03892733564013841,0.07785467128027682,0.23356401384083045,1.518166089965398,0.07785467128027682,0.0,0.15570934256055363,3.075259515570934,5.255190311418685,2.608131487889273,5.6833910034602075,0.0,0.0,0.0,0.35034602076124566,0.0
Veljko,Milosavljevic,0.0,Nott'm Forest,Away,360.0,0.0375,0.0475,0.08499999999999999,1.0274999999999999,4.8975,4.0,0.0,0.0,0.25,1.5,0.0,0.0,1.5,8.5,3.25,1.25,9.75,0.0,0.0,0.0,0.0,0.0
Nathan,Collins,3.0,Liverpool,Away,2865.0,0.07036649214659686,0.04335078534031414,0.113717277486911,1.3752879581151833,3.6923560209424084,3.9267015706806285,0.031413612565445025,0.06282722513089005,0.28272251308900526,1.3193717277486912,0.2198952879581152,0.0,0.9424083769633508,8.670157068062828,4.052356020942408,0.8795811518324608,9.54973821989529,0.031413612565445025,0.0,0.0,0.18848167539267016,0.0
Keane,Lewis-Potter,3.5,Liverpool,Away,1761.0,0.14514480408858602,0.10119250425894379,0.24633730834752982,1.4534923339011925,4.144804088586031,4.957410562180579,0.15332197614991483,0.10221465076660988,0.4599659284497445,1.4821124361158433,0.2555366269165247,0.0,0.0,1.9931856899488927,4.4463373083475295,0.9710391822827938,2.9642248722316866,0.0,0.0,0.0,0.0,0.0
Kristoffer,Ajer,1.5,Liverpool,Away,1740.0,0.03103448275862069,0.016551724137931035,0.04758620689655173,1.555344827586207,3.322758620689655,3.517241379310345,0.0,0.05172413793103449,0.25862068965517243,1.5,0.05172413793103449,0.0,0.9310344827586208,7.655172413793104,2.896551724137931,1.8620689655172415,9.517241379310345,0.0,0.0,0.0,0.15517241379310345,0.0
Rico,Henry,0.0,Liverpool,Away,1194.0,0.0037688442211055275,0.03919597989949749,0.04296482412060302,1.4871859296482413,2.612562814070351,3.3919597989949746,0.0,0.1507537688442211,0.3015075376884422,1.2814070351758793,0.0,0.0,0.0,3.467336683417085,4.899497487437186,0.9045226130653266,4.371859296482412,0.0,0.0,0.0,0.07537688442211055,0.0
Michael,Kayode,1.8,Liverpool,Away,3168.0,0.03636363636363636,0.08181818181818182,0.11818181818181818,1.4093749999999998,2.868181818181818,3.153409090909091,0.028409090909090908,0.056818181818181816,0.28409090909090906,1.3636363636363635,0.2556818181818182,0.0,0.17045454545454544,4.232954545454545,4.517045454545454,1.846590909090909,6.079545454545454,0.028409090909090908,0.0,0.0,0.22727272727272727,0.0
Ethan,Pinnock,0.0,Liverpool,Away,318.0,0.0028301886792452833,0.016981132075471698,0.01981132075471698,1.0471698113207548,3.7245283018867927,3.9622641509433962,0.0,0.0,0.2830188679245283,1.4150943396226416,0.5660377358490566,0.0,1.1320754716981132,10.471698113207548,3.1132075471698113,1.4150943396226416,11.88679245283019,0.2830188679245283,0.0,0.0,0.2830188679245283,0.0
Sepp,van den Berg,2.5,Liverpool,Away,2663.0,0.10747277506571537,0.03176868193766429,0.13924145700337967,1.3018400300413073,3.7831768681937663,3.548629365377394,0.0,0.06759294029290275,0.270371761171611,1.3518588058580547,0.10138941043935411,0.0,0.7435223432219301,8.043559894855425,3.5824258355238454,0.642132932782576,8.685692827638002,0.0,0.0,0.0,0.06759294029290275,0.0
Aaron,Hickey,0.8,Liverpool,Away,568.0,0.06179577464788732,0.02693661971830986,0.08873239436619718,0.9491197183098592,5.091021126760564,4.119718309859155,0.0,0.0,0.31690140845070425,1.1091549295774648,0.0,0.0,0.31690140845070425,4.436619718309859,4.436619718309859,1.426056338028169,5.862676056338028,0.0,0.0,0.0,0.0,0.0
